id,title,description,availability,condition,price,link,image_link,brand
684983E2B0F92_White_M_ignored-tank-top,Ignored Tank Top – White M,Ignored Tank Top from Typowear with hidden message design.,in stock,new,59.00 EUR,https://www.typotecture.com/store-3-1/p/ignored-tank-top,https://www.typotecture.com/images/ignored-tank-top_white_M.jpg,Typowear
684983E2B0F92_White_L_ignored-tank-top,Ignored Tank Top – White L,Ignored Tank Top from Typowear with hidden message design.,in stock,new,59.00 EUR,https://www.typotecture.com/store-3-1/p/ignored-tank-top,https://www.typotecture.com/images/ignored-tank-top_white_L.jpg,Typowear
684983E2B0F92_White_XL_ignored-tank-top,Ignored Tank Top – White XL,Ignored Tank Top from Typowear with hidden message design.,in stock,new,59.00 EUR,https://www.typotecture.com/store-3-1/p/ignored-tank-top,https://www.typotecture.com/images/ignored-tank-top_white_XL.jpg,Typowear
684983E2B0F92_White_2XL_ignored-tank-top,Ignored Tank Top – White 2XL,Ignored Tank Top from Typowear with hidden message design.,in stock,new,59.00 EUR,https://www.typotecture.com/store-3-1/p/ignored-tank-top,https://www.typotecture.com/images/ignored-tank-top_white_2XL.jpg,Typowear
684983E2B0F92_Black_ignored-snapback-hat,Ignored Snapback Hat – Black,Ignored Snapback Hat from Typowear with hidden message design.,in stock,new,59.00 EUR,https://www.typotecture.com/store-3-1/p/ignored-snapback-hat,https://www.typotecture.com/images/ignored-snapback-hat_black.jpg,Typowear
684983E2B0F92_White_ignored-snapback-hat,Ignored Snapback Hat – White,Ignored Snapback Hat from Typowear with hidden message design.,in stock,new,59.00 EUR,https://www.typotecture.com/store-3-1/p/ignored-snapback-hat,https://www.typotecture.com/images/ignored-snapback-hat_white.jpg,Typowear
684983E2B0F92_Black_ignored-dad-hat,Ignored Dad Hat – Black,Ignored Dad Hat from Typowear with hidden message design.,in stock,new,59.00 EUR,https://www.typotecture.com/store-3-1/p/ignored-dad-hat,https://www.typotecture.com/images/ignored-dad-hat_black.jpg,Typowear
684983E2B0F92_White_ignored-dad-hat,Ignored Dad Hat – White,Ignored Dad Hat from Typowear with hidden message design.,in stock,new,59.00 EUR,https://www.typotecture.com/store-3-1/p/ignored-dad-hat,https://www.typotecture.com/images/ignored-dad-hat_white.jpg,Typowear
684983E2B0F92_Black_ignored-bucket-hat,Ignored Bucket Hat – Black,Ignored Bucket Hat from Typowear with hidden message design.,in stock,new,59.00 EUR,https://www.typotecture.com/store-3-1/p/ignored-bucket-hat,https://www.typotecture.com/images/ignored-bucket-hat_black.jpg,Typowear
684983E2B0F92_White_ignored-bucket-hat,Ignored Bucket Hat – White,Ignored Bucket Hat from Typowear with hidden message design.,in stock,new,59.00 EUR,https://www.typotecture.com/store-3-1/p/ignored-bucket-hat,https://www.typotecture.com/images/ignored-bucket-hat_white.jpg,Typowear
